x-coordinate,y-coordinate,z-coordinate
10.8103722,-2.151666186,-1.459565903
14.65481285,0.9568,-1.455903739
14.91944375,0.9568,-1.452134145
13.3505971,-2.160010653,-1.447188301
10.41215429,-2.160042738,-1.447140411
11.46828973,-2.163770427,-1.4415608
11.17633192,-2.168710898,-1.434117514
12.77044481,-2.170115147,-1.431991707
0.5817372332,0.9568,-1.426601474
-2.062022541,-0.6924728134,-1.424269793
12.79594106,0.9568,-1.421373296
2.38092578,0.9568,-1.416171282
11.68366863,-2.183272283,-1.411850608
7.358535694,-2.184258335,-1.410324617
13.83508691,0.9568,-1.408263743
9.937322648,-2.189740269,-1.401797972
15.21903377,0.9568,-1.399476729
14.44527492,0.9568,-1.394395032
12.55945417,-2.195638069,-1.392542089
1.246051933,0.9568,-1.39210276
1.687933472,0.9568,-1.380978462
0.8311188786,0.9568,-1.380176151
15.08,-2.205320904,-1.377156385
-0.4343494571,0.9568,-1.37399107
11.99181345,-2.212234732,-1.366022508
12.27447319,-2.213304401,-1.364288689
11.83034173,-2.216646756,-1.358851411
12.41136739,-2.218317868,-1.356121616
1.670648772,-2.221660638,-1.350638371
12.13240424,-2.224081133,-1.346648845
9.371439819,-2.231452309,-1.334398964
4.722976409,-2.232375678,-1.332853642
0.4112538796,0.9568,-1.329968922
-0.0175285785,0.9568,-1.327461669
11.38193729,-2.240041324,-1.319929873
17.1057315,0.9568,-1.319449002
2.439000501,-2.241889674,-1.316788021
0.2207346883,0.9568,-1.316281356
13.10502147,-2.24593841,-1.309870473
3.195195897,-2.247347361,-1.307451659
-0.2093283713,0.9568,-1.301677475
12.8877428,-2.252119088,-1.299214999
13.13506177,0.9568,-1.296122391
14.08474768,0.9568,-1.294951035
11.56426994,-2.256107219,-1.292277145
14.5517829,0.9568,-1.287834066
8.981901544e-15,-2.259543471,-1.286259423
3.921967841,-2.262096769,-1.281763709
1.036019557,0.9568,-1.279115164
15.53586148,0.9568,-1.278988011
14.304956,0.9568,-1.275932557
12.67700648,-2.271266543,-1.26544391
11.73500994,-2.27667531,-1.255686876
12.50536811,-2.277900709,-1.253462548
17.05824462,-1.137179099,-1.246343419
0.6927913468,0.9568,-1.240497642
14.44326627,0.9568,-1.239637752
11.00630948,-2.285535552,-1.239486684
11.89098495,-2.288297051,-1.234381062
12.35121275,-2.288307848,-1.234361047
12.19785495,-2.288337241,-1.234306554
12.04433163,-2.288338915,-1.234303451
14.72568762,0.9568,-1.232506587
14.59434482,-2.290538914,-1.230216031
0.5253603108,0.9568,-1.229617919
1.45282124,0.9568,-1.228584319
13.66537787,0.9568,-1.226158471
13.38818741,0.9568,-1.221405327
11.25994381,-2.295943136,-1.220100454
12.11959345,-2.35,-1.217544782
12.11467698,-2.65,-1.217505788
14.9811565,0.9568,-1.213115203
12.19640079,-2.494725735,-1.211844437
13.55550517,-2.300617301,-1.211263817
12.03748435,-2.495736106,-1.210505775
8.700290311,-2.303368334,-1.206024179
11.30669805,0.9568,-1.202958918
2.748315797,0.9568,-1.201547883
0.3706526266,0.9568,-1.199194262
11.91976263,0.9568,-1.198571948
12.27050494,-2.65,-1.194703618
13.26101803,-2.30985794,-1.193547778
-1.509804846,-1.748421129,-1.193110591
10.67991151,-2.310156321,-1.192970148
11.46920743,-2.310738421,-1.191842251
12.28248281,-2.35,-1.190786768
11.95948632,-2.65,-1.19070747
11.95686831,-2.35,-1.189805148
0.08795524142,0.9568,-1.182368011
13.90196359,0.9568,-1.177098509
16.40037608,0.9568,-1.17598533
0.8722090721,0.9568,-1.173451056
1.989538595,0.9568,-1.168885093
12.34392133,-2.490354634,-1.165152891
1.220057358,0.9568,-1.162287142
13.00044804,-2.326432631,-1.160909649
11.88785866,-2.50091781,-1.159811828
-0.09307623663,0.9568,-1.156775648
6.065255733,-2.328887183,-1.15597772
-2.327454825,-0.1086785976,-1.153751707
-0.3576393532,0.9568,-1.152535481
14.54053491,0.9568,-1.147132701
14.03759929,-2.334170676,-1.145271696
-1.057954386,0.9568,-1.142429597
11.6436653,-2.335905031,-1.141730129
16.58975091,-1.78451284,-1.138492916
12.78148578,-2.338295796,-1.136825742
1.717074287,0.9568,-1.131881146
7.395880175,0.9568,-1.129496857
3.252804033,0.9568,-1.127161745
12.59934123,-2.34357058,-1.125911603
-1.517984404,0.9568,-1.124675996
12.41155836,-2.65,-1.124529082
10.2930556,-2.345075815,-1.122773095
0.6150671204,0.9568,-1.117547054
14.21871844,0.9568,-1.117547054
0.6150671204,1.01,-1.117547054
14.21871844,1.01,-1.117547054
11.8202962,-2.65,-1.116942385
0.212470403,0.9568,-1.114422251
-0.6842922922,0.9568,-1.113464591
11.81439626,-2.35,-1.112429773
11.96757363,-2.35,-1.112429773
12.12108963,-2.35,-1.112429773
12.27462028,-2.35,-1.112429773
12.42780522,-2.35,-1.112429773
6.782672934,-2.352660323,-1.106792394
15.20017575,0.9568,-1.10412136
0.4723804201,0.9568,-1.096755261
14.07602742,0.9568,-1.096753977
0.7578248797,1.01,-1.096734097
14.36148286,1.01,-1.096732111
14.37378261,0.9568,-1.092894402
0.7701463047,0.9568,-1.092889506
0.4599452478,1.01,-1.092875577
14.0635824,1.01,-1.092870953
-2.156628652,0.9568,-1.092468132
12.49104189,0.9568,-1.089316874
1.043503432,0.9568,-1.084522605
11.39336024,-2.365094965,-1.079965651
11.77189196,-2.509770756,-1.075392314
12.47414196,-2.51377972,-1.071611879
17.41928244,0.3809607979,-1.068937109
13.77235984,0.9568,-1.05985742
13.58214114,0.9568,-1.054333517
1.36154387,0.9568,-1.053266597
11.17732148,-2.377732814,-1.051849164
14.82956035,0.9568,-1.051290091
15.85239057,0.9568,-1.04918831
