X,Y,Z
-18.6037312,12.6049995,-7.83535576
-18.539835,12.6049995,-7.83535576
-20.1373196,12.2539244,-6.1739521
-20.1373196,12.2539244,-6.23786354
-20.0733891,12.2647629,-6.23786354
-19.5562363,12.5761013,-8.28265572
-19.5562363,12.5761013,-8.21874428
-19.4892349,12.5761013,-8.21874428
-19.690012,12.2416391,-4.57648659
-19.690012,12.2416391,-4.49365044
-19.7539082,12.2416391,-4.49365044
-20.1725159,12.4552689,-4.70430994
-20.1725159,12.3913698,-4.70430994
-20.1725159,12.3913698,-4.6403985
-18.9876461,12.2619915,-5.79056358
-18.9876461,12.2619915,-5.85444784
-18.919735,12.271101,-5.85444784
-18.4102535,12.5883722,-7.89924002
-18.4102535,12.5883722,-7.83535576
-18.350235,12.5761013,-7.83535576
-19.1807346,12.5761013,-6.62127876
-19.1807346,12.5761013,-6.55736732
-19.1137352,12.5761013,-6.55736732
-19.306612,12.2416391,-5.21549463
-19.306612,12.2416391,-5.15158319
-19.3705196,12.2416391,-5.15158319
-18.7954197,12.6049995,-7.26028681
-18.7954197,12.6049995,-7.19637537
-18.7315235,12.6049995,-7.19637537
-19.7532349,12.5761013,-7.64364767
-19.7532349,12.5761013,-7.57976341
-19.6905613,12.5849104,-7.57976341
-18.539835,12.3274698,-10.346241
-18.539835,12.2416391,-10.346241
-18.6037312,12.2416391,-10.346241
-19.3817348,12.5761013,-5.98227119
-19.3817348,12.5761013,-5.91835976
-19.3064842,12.5821724,-5.91835976
-17.389719,12.2520218,-7.64364767
-17.389719,12.2520218,-7.70755959
-17.354372,12.2416391,-7.70755959
-19.1788197,12.2416391,-5.15158319
-19.1788197,12.2416391,-5.21549463
-19.112957,12.2583036,-5.21549463
-19.5562363,12.5761013,-5.34326315
-19.5562363,12.5761013,-5.27937889
-19.4892349,12.5761013,-5.27937889
-20.1725159,12.2416391,-9.56067085
-20.1725159,12.3274698,-9.56067085
-20.1725159,12.3274698,-9.62455559
-18.6037312,12.6049995,-7.26028681
-18.6037312,12.6049995,-7.19637537
-18.539835,12.6049995,-7.19637537
-19.9456196,12.6049995,-7.00469446
-19.9456196,12.6049995,-6.94078302
-19.881712,12.6049995,-6.94078302
-19.5622196,12.2416391,-4.57648659
-19.4983234,12.2416391,-4.57648659
-19.4983234,12.2416391,-4.49365044
-19.7539082,12.6049995,-4.70430994
-19.7539082,12.6049995,-4.6403985
-19.690012,12.6049995,-4.6403985
-17.354372,12.5191689,-10.0079441
-17.354372,12.6049995,-10.0079441
-17.354372,12.6049995,-9.94403172
-18.9894543,12.5881338,-6.62127876
-18.9894543,12.5881338,-6.55736732
-18.9232349,12.6049995,-6.55736732
