Node,X[m],Y[m],Z[m],predicted_CR
210,-20.1725159,12.2416391,-10.0718555,0.009033872
211,-20.1725159,12.2416391,-10.1357403,0.009033872
212,-20.1373196,12.2416391,-10.1357403,0.009033872
213,-18.9894543,12.5881329,-7.89924002,0.009033872
214,-18.9894543,12.5881329,-7.83535576,0.009033872
215,-18.9232349,12.6049995,-7.83535576,0.009033872
216,-18.9232349,12.6049995,-7.89924002,0.009033872
217,-18.6037312,12.6049995,-6.23786354,0.009033734
218,-18.6037312,12.6049995,-6.1739521,0.009033626
219,-18.539835,12.6049995,-6.1739521,0.009033626
220,-18.539835,12.6049995,-6.23786354,0.009033734
221,-19.9456196,12.2416391,-10.1357403,0.009033872
222,-19.9456196,12.2416391,-10.0718555,0.009033872
223,-20.0095158,12.2416391,-10.0718555,0.009033872
224,-20.0095158,12.2416391,-10.1357403,0.009033872
225,-18.2162361,12.5761013,-6.87687111,0.009033872
226,-18.2162361,12.5761013,-6.81298685,0.009033872
227,-18.1492348,12.5761013,-6.81298685,0.009033872
228,-18.1492348,12.5761013,-6.87687111,0.009033872
229,-18.7954197,12.2416391,-4.76819468,0.009033078
230,-18.7954197,12.2416391,-4.83207893,0.009033078
231,-18.7315235,12.2416391,-4.83207893,0.009033078
232,-18.7315235,12.2416391,-4.76819468,0.009033078
233,-19.7542362,12.271101,-5.15158319,0.009033078
234,-19.7542362,12.271101,-5.21549463,0.009033078
235,-19.6921558,12.2585497,-5.21549463,0.009033078
236,-19.6921558,12.2585497,-5.15158319,0.009033078
237,-20.1725159,12.2416391,-7.70755959,0.009033872
238,-20.1725159,12.2416391,-7.64364767,0.009033872
239,-20.1725159,12.3274698,-7.64364767,0.009033872
240,-20.1725159,12.3274698,-7.70755959,0.009033872
241,-19.1807346,12.5761013,-7.26028681,0.009033872
242,-19.1807346,12.5761013,-7.19637537,0.009033872
243,-19.1137352,12.5761013,-7.19637537,0.009033872
244,-19.1137352,12.5761013,-7.26028681,0.009033872
245,-18.6037312,12.2416391,-4.83207893,0.009033078
246,-18.539835,12.2416391,-4.83207893,0.009033078
247,-18.539835,12.2416391,-4.76819468,0.009033078
248,-18.6037312,12.2416391,-4.76819468,0.009033078
249,-18.028635,12.5822058,-6.87687111,0.009033872
250,-18.028635,12.5822058,-6.81298685,0.009033872
251,-17.9747353,12.5761013,-6.81298685,0.009033872
252,-17.9747353,12.5761013,-6.87687111,0.009033872
253,-18.7954197,12.6049995,-5.5988555,0.009033078
254,-18.7954197,12.6049995,-5.53497124,0.009033078
255,-18.7315235,12.6049995,-5.53497124,0.009033078
256,-18.7315235,12.6049995,-5.5988555,0.009033078
257,-19.881712,12.2416391,-4.49365044,0.009033078
258,-19.9456196,12.2416391,-4.49365044,0.009033078
259,-19.9456196,12.2416391,-4.57648659,0.009033078
260,-19.881712,12.2416391,-4.57648659,0.009033078
261,-18.4102535,12.5883722,-6.23786354,0.009033734
262,-18.4102535,12.5883722,-6.1739521,0.009033626
263,-18.350235,12.5761013,-6.1739521,0.009033626
264,-18.350235,12.5761013,-6.23786354,0.009033734
265,-20.1725159,12.2416391,-9.43284798,0.009033872
266,-20.1725159,12.2416391,-9.49675941,0.009033872
267,-20.1373196,12.2539244,-9.49675941,0.009033872
268,-20.1373196,12.2539244,-9.43284798,0.009033872
269,-19.3817348,12.5761013,-6.62127876,0.009033872
270,-19.3817348,12.5761013,-6.55736732,0.009033891
271,-19.3064842,12.5821724,-6.55736732,0.009033891
272,-19.3064842,12.5821724,-6.62127876,0.009033872
273,-18.9894543,12.5881329,-4.95990229,0.009033078
274,-18.9875526,12.597271,-4.89599085,0.009033078
275,-18.9232349,12.6049995,-4.89599085,0.009033078
276,-18.9232349,12.6049995,-4.95990229,0.009033078
277,-19.5562363,12.5761013,-5.98227119,0.009033239
278,-19.5562363,12.5761013,-5.91835976,0.009033153
279,-19.4892349,12.5761013,-5.91835976,0.009033153
280,-19.4892349,12.5761013,-5.98227119,0.009033239
281,-18.2162361,12.5761013,-6.23786354,0.009033775
282,-18.2162361,12.5761013,-6.1739521,0.009033626
283,-18.1492348,12.5761013,-6.1739521,0.009033626
284,-18.1492348,12.5761013,-6.23786354,0.009033775
285,-18.0286198,12.2416391,-10.2635365,0.009033872
286,-18.0286198,12.2416391,-10.346241,0.009033872
287,-17.9647236,12.2416391,-10.346241,0.009033872
288,-17.9647236,12.2416391,-10.2635365,0.009033872
289,-18.6037312,12.6049995,-5.5988555,0.009033078
290,-18.6037312,12.6049995,-5.53497124,0.009033078
291,-18.539835,12.6049995,-5.53497124,0.009033078
292,-18.539835,12.6049995,-5.5988555,0.009033078
293,-19.7532349,12.5761013,-5.34326315,0.009033078
294,-19.7532349,12.5761013,-5.27937889,0.009033078
295,-19.6905537,12.5848904,-5.27937889,0.009033078
296,-19.6905537,12.5848904,-5.34326315,0.009033078
297,-18.156435,12.2416391,-9.68843937,0.009033872
298,-18.156435,12.2416391,-9.62455559,0.009033872
299,-18.2203312,12.2416391,-9.62455559,0.009033872
300,-18.2203312,12.2416391,-9.68843937,0.009033872
301,-18.3469486,12.258604,-9.04948616,0.009033872
302,-18.3469486,12.258604,-8.98557568,0.009033872
303,-18.411478,12.2614508,-8.98557568,0.009033872
304,-18.411478,12.2614508,-9.04948616,0.009033872
305,-20.1373196,12.6049995,-10.1996241,0.009033872
306,-20.1373196,12.6049995,-10.2635365,0.009033872
307,-20.1725159,12.6049995,-10.2635365,0.009033872
308,-20.1725159,12.6049995,-10.1996241,0.009033872
309,-18.4102535,12.5883722,-5.5988555,0.009033078
310,-18.4102535,12.5883722,-5.53497124,0.009033078
311,-18.350235,12.5761013,-5.53497124,0.009033078
312,-18.350235,12.5761013,-5.5988555,0.009033078
313,-17.389719,12.2520218,-5.34326315,0.009033078
