X,Y,Z
-0.0170894992,-1.49336517,0.716796935
-0.0144561799,-1.51548731,0.614865541
-1.27027261,-1.58292115,0.582716227
-1.25399375,-1.60999358,0.5861848
-0.122443154,-1.48773479,0.690852642
-0.0950830504,-1.48775756,0.688850343
0.0318419449,-1.48859537,0.69245398
-0.634632707,-1.5873183,0.785911918
-0.654005229,-1.61847532,0.780771315
-0.0471129268,-1.49034727,0.662094116
-0.0154004116,-1.49017739,0.663587391
0.00137317623,-1.49926913,0.638044596
0.0527538545,-1.49182308,0.710578263
-0.0633356124,-1.48790359,0.688688278
-0.0625939071,-1.58874941,0.582716227
-0.587098062,-1.61581481,0.781707764
-0.571071267,-1.58762503,0.785911918
-0.602851987,-1.5874716,0.785911918
-0.0316009335,-1.48810482,0.689688385
-0.555317402,-1.61597812,0.781704783
-0.539290607,-1.58777833,0.785911918
0.016439978,-1.49026155,0.6639238
3.84507575e-06,-1.48834431,0.691134989
-0.014808543,-1.56179214,0.586606324
-0.523536742,-1.61614144,0.781701863
-0.507509887,-1.58793175,0.785911918
-1.69941521,-1.60882807,0.782173991
-1.6676718,-1.60955393,0.782012343
-1.68339622,-1.58225691,0.785911918
-1.63579023,-1.60980606,0.78198427
-1.6516155,-1.58241034,0.785911918
0.00175323081,-1.5369283,0.597508729
-1.22221446,-1.61014736,0.586184859
-1.20671272,-1.58322799,0.582716227
-1.19043517,-1.61030114,0.586185038
-0.0308117028,-1.58890283,0.582716227
-1.17493272,-1.5833813,0.582716227
-1.15865564,-1.61045492,0.586185098
-1.8265754,-1.60878706,0.782012343
-1.84229982,-1.58149004,0.785911918
-0.181027874,-1.50082481,0.735064566
0.0179861486,-1.51597214,0.614516675
-1.79473841,-1.60813797,0.782237887
-1.8105191,-1.58164346,0.785911918
0.000970569265,-1.58905625,0.582716227
-1.77873838,-1.58179677,0.785911918
-1.76305258,-1.60905325,0.782023847
0.0170859117,-1.56181669,0.586643279
0.0327529088,-1.58920956,0.582716227
-0.73000598,-1.58552849,0.582716227
-0.745515287,-1.61245382,0.586186469
0.0334750414,-1.50021827,0.636523664
-1.73117566,-1.60936415,0.781978965
-1.74695766,-1.58195019,0.785911918
0.0487727411,-1.56263268,0.586455762
-1.71517694,-1.58210349,0.785911918
0.0496770181,-1.49076939,0.662295699
0.0336497426,-1.53752625,0.597240269
0.0645353124,-1.58936298,0.582716227
0.0805442259,-1.56220603,0.586619496
-1.50878716,-1.61041844,0.781984389
0.0653957799,-1.53779542,0.597170591
-1.60407305,-1.60928822,0.782173991
-1.61983478,-1.58256364,0.785911918
-1.23849273,-1.58307457,0.582716227
-1.14315271,-1.58353472,0.582716227
-1.12687612,-1.6106087,0.586185217
0.0497424081,-1.51660299,0.614014864
0.0815033615,-1.51646626,0.614318728
